comment_id,video_id,comment_type,parent_id,author_name,author_channel_url,comment_text,like_count,published_at,updated_at,reply_count,primary_emotion,confidence,anger_score,disgust_score,fear_score,joy_score,sadness_score,surprise_score,neutral_score
UgxsScwT60lbZ6lYu3N4AaABAg,rJsa0B7Qd7Y,main_comment,,@speak_kr,http://www.youtube.com/@speak_kr,"<a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=21"">0:21</a> 기상한 마지심슨<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=40"">0:40</a> 아침점호 시작<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=68"">1:08</a> 새해가 밝았다구요오오!!<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=135"">2:15</a> 스픽 등!장!<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=180"">3:00</a> 하핳 (담당자가 이 웃음 10번 돌려봄)<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=220"">3:40</a> 새해맞이 초심 찾기<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=368"">6:08</a> 장충동 왕족발 등장<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=393"">6:33</a> 술 강요<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=464"">7:44</a> 이쁜 여친이랑 노량 보기<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=628"">10:28</a> 시베리안 호랑이 VS 맹견 9마리<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=752"">12:32</a> 강아지 귀여웡<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=838"">13:58</a> AI는 말왕을 알까<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=877"">14:37</a> 전설의 시작<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=927"">15:27</a> 말왕의 플러팅<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=980"">16:20</a> AI에게 슬슬 말리기 시작<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=1144"">19:04</a> 자기 좋아하도록 설정한 AI에게도 까이는 말왕<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=1253"">20:53</a>-<a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=1295"">21:35</a> 매달리는 말왕<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=1295"">21:35</a> 사랑 고백<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=1327"">22:07</a> 까임<br><a href=""https://www.youtube.com/watch?v=rJsa0B7Qd7Y&amp;t=1350"">22:30</a> 현실 부정",918,2024-01-08T09:03:38Z,2024-01-08T09:03:38Z,17,joy,0.85,0.01,0.01,0.01,0.85,0.01,0.01,0.1
UgxsScwT60lbZ6lYu3N4AaABAg.9zIr7ZlTn5b9zIrE-gsOOg,rJsa0B7Qd7Y,reply,UgxsScwT60lbZ6lYu3N4AaABAg,@zero_gram0g,http://www.youtube.com/@zero_gram0g,와 스픽 진심이네,96,2024-01-08T09:04:30Z,2024-01-08T09:04:30Z,0,joy,0.9,0.01,0.01,0.01,0.9,0.01,0.01,0.05
UgxsScwT60lbZ6lYu3N4AaABAg.9zIr7ZlTn5b9zIrIpeil9_,rJsa0B7Qd7Y,reply,UgxsScwT60lbZ6lYu3N4AaABAg,@red_mnm,http://www.youtube.com/@red_mnm,ㅋㅋㅋㅋㅋㅋㅋㅋ 고정 ㄱㄱ,8,2024-01-08T09:05:09Z,2024-01-08T09:05:09Z,0,joy,0.88,0.01,0.01,0.01,0.88,0.01,0.01,0.08
UgxsScwT60lbZ6lYu3N4AaABAg.9zIr7ZlTn5b9zIrUMHtrp6,rJsa0B7Qd7Y,reply,UgxsScwT60lbZ6lYu3N4AaABAg,@shinmoong0202,http://www.youtube.com/@shinmoong0202,고정 진짜,12,2024-01-08T09:06:44Z,2024-01-08T09:06:44Z,0,joy,0.85,0.01,0.01,0.01,0.85,0.01,0.01,0.11
UgxsScwT60lbZ6lYu3N4AaABAg.9zIr7ZlTn5b9zIrXFcb0Kz,rJsa0B7Qd7Y,reply,UgxsScwT60lbZ6lYu3N4AaABAg,@toastguy-bx3nw,http://www.youtube.com/@toastguy-bx3nw,뭐야ㅋㅋ,8,2024-01-08T09:07:08Z,2024-01-08T09:07:08Z,0,joy,0.8,0.01,0.01,0.01,0.8,0.01,0.01,0.15
UgxsScwT60lbZ6lYu3N4AaABAg.9zIr7ZlTn5b9zItS3Qd2J5,rJsa0B7Qd7Y,reply,UgxsScwT60lbZ6lYu3N4AaABAg,@fantasista10_,http://www.youtube.com/@fantasista10_,광고여도 이정도 노력이면 킹정이지,37,2024-01-08T09:23:54Z,2024-01-08T09:23:54Z,0,joy,0.87,0.01,0.01,0.01,0.87,0.01,0.01,0.09
Ugzd5N5ZxOPY0u5eHkh4AaABAg,rJsa0B7Qd7Y,main_comment,,@flyingturtleinthesky,http://www.youtube.com/@flyingturtleinthesky,밀당하려다 말아먹은게 개웃기네 ㅋㅋㅋㅋㅋ,152,2024-01-22T05:17:17Z,2024-01-22T05:17:17Z,0,joy,0.92,0.01,0.01,0.01,0.92,0.01,0.01,0.04
Ugy0kNMQKaXw8BY_i1V4AaABAg,rJsa0B7Qd7Y,main_comment,,@dooya1215,http://www.youtube.com/@dooya1215,여자 ai 한테 가오부리다가 역전당하는거 개웃기네 ㅋㅋㅋㅋㅋㅋㅋ,255,2024-01-08T09:55:56Z,2024-01-08T09:55:56Z,0,joy,0.95,0.01,0.01,0.01,0.95,0.01,0.01,0.02
UgyJv2ujmAfXSWlWu-J4AaABAg,rJsa0B7Qd7Y,main_comment,,@himchan1,http://www.youtube.com/@himchan1,말왕 나락퀴즈쇼 요약)<br>나는 스테로이드를 복용했으며<br>박범계 의원은 참교육이 필요하다.<br>임산부는 분홍머리를 해야 하고<br>구마유시는 워스트 플레이어이며<br>본인은 여성운동을 혐오한다.<br>부산엑스포 유치 실패는 전적으로 SK의 잘못이며<br>이 모든 질문에 답했지만 100만원 기부를 위해<br>지금까지 DM으로 몇 명 만났는지는 얘기해 줄 수 없다,2261,2024-01-08T09:26:53Z,2024-01-08T09:26:53Z,39,neutral,0.7,0.01,0.01,0.01,0.05,0.01,0.01,0.91
UgyJv2ujmAfXSWlWu-J4AaABAg.9zItmxtEBHl9zIvvM3PCY8,rJsa0B7Qd7Y,reply,UgyJv2ujmAfXSWlWu-J4AaABAg,@MrRagoona88,http://www.youtube.com/@MrRagoona88,주소.,1646,2024-01-08T09:45:30Z,2024-01-08T09:45:30Z,0,neutral,0.6,0.01,0.01,0.01,0.01,0.01,0.01,0.95
