comment_id,video_id,comment_type,parent_id,author_name,author_channel_url,comment_text,like_count,published_at,updated_at,reply_count,primary_emotion,confidence,anger_score,disgust_score,fear_score,joy_score,sadness_score,surprise_score,neutral_score
UgzoKtd9iKhDBN6CCZh4AaABAg,NLusWDqdXnI,main_comment,,@StudioPickle,http://www.youtube.com/@StudioPickle,"🙏제작을 도와주신 분🙏<br>양파는 껍질이 전부다! 데일리어니언 양파껍질차~<br><br>[웃다가 x 데일리어니언] 이벤트!<br>스토어 알림받기 버튼을 눌러 주시는 분들께<br>1박스(24병) 구매시 30%<br>3박스(72병) 구매시 50% 할인 <br><a href=""https://m.smartstore.naver.com/dailyonion/products/11442009853"">https://m.smartstore.naver.com/dailyonion/products/11442009853</a><br><br>--------------------------------------------------------------<br>광고 문의 : ad@<a href=""http://podbbang.com/"">podbbang.com</a> / 02-6457-8019<br>사연 등 기타 문의 : contents@<a href=""http://studiopickle.co.kr/"">studiopickle.co.kr</a>",213,2025-03-15T01:18:27Z,2025-03-15T10:55:38Z,5,neutral,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
UgzoKtd9iKhDBN6CCZh4AaABAg.AFfOIauXf8gAFfS_jJw9jk,NLusWDqdXnI,reply,UgzoKtd9iKhDBN6CCZh4AaABAg,@세컨-b5l,http://www.youtube.com/@%EC%84%B8%EC%BB%A8-b5l,상품이 존재하지 않습니다<br>라고 뜨네요,2,2025-03-15T01:55:53Z,2025-03-15T01:55:53Z,0,anger,0.9,0.7,0.0,0.0,0.0,0.0,0.0,0.3
UgzoKtd9iKhDBN6CCZh4AaABAg.AFfOIauXf8gAFgO4ByE-qK,NLusWDqdXnI,reply,UgzoKtd9iKhDBN6CCZh4AaABAg,@harrison-forcha,http://www.youtube.com/@harrison-forcha,"뭐냐 되도않는 링크 걸어두고, 그냥 네이버 스토어에서도 30%,50% 할인하는데 이딴식으로 광고 하면 맴매한다!",0,2025-03-15T10:35:43Z,2025-03-15T10:38:22Z,0,anger,0.95,0.8,0.1,0.0,0.0,0.0,0.0,0.1
UgzoKtd9iKhDBN6CCZh4AaABAg.AFfOIauXf8gAFgQROeAKWB,NLusWDqdXnI,reply,UgzoKtd9iKhDBN6CCZh4AaABAg,@StudioPickle,http://www.youtube.com/@StudioPickle,"​​@@세컨-b5l <a href=""https://m.smartstore.naver.com/dailyonion/products/11442009853"">https://m.smartstore.naver.com/dailyonion/products/11442009853</a><br>로 접속 부탁드립니다~",4,2025-03-15T10:56:22Z,2025-03-15T10:56:44Z,0,neutral,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
UgzoKtd9iKhDBN6CCZh4AaABAg.AFfOIauXf8gAFgS2dPi7-6,NLusWDqdXnI,reply,UgzoKtd9iKhDBN6CCZh4AaABAg,@kse0200,http://www.youtube.com/@kse0200,안떠요,1,2025-03-15T11:10:28Z,2025-03-15T11:10:28Z,0,surprise,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.4
UgzoKtd9iKhDBN6CCZh4AaABAg.AFfOIauXf8gAFxZk4R98Rm,NLusWDqdXnI,reply,UgzoKtd9iKhDBN6CCZh4AaABAg,@ouriasiungasing,http://www.youtube.com/@ouriasiungasing,엥 ? 뭐당게유,0,2025-03-22T02:44:47Z,2025-03-22T02:44:47Z,0,surprise,0.65,0.0,0.0,0.0,0.0,0.0,0.65,0.35
Ugx6wR0VUiXfSwv28sJ4AaABAg,NLusWDqdXnI,main_comment,,@이유나-w8n,http://www.youtube.com/@%EC%9D%B4%EC%9C%A0%EB%82%98-w8n,최욱AI 완전 미친ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,508,2025-03-15T02:20:57Z,2025-03-15T02:20:57Z,0,joy,0.95,0.0,0.0,0.0,0.9,0.0,0.0,0.1
UgxLoRGPyS0aggQPslh4AaABAg,NLusWDqdXnI,main_comment,,@뽈롤롤롤로-z3y,http://www.youtube.com/@%EB%BD%88%EB%A1%A4%EB%A1%A4%EB%A1%A4%EB%A1%9C-z3y,웃다가라도 보며 마음을 달래야겠어요 밤새 편집해 주신 제작진분들 고맙습니다 그와중에 바람피는 AI 봤어? ㅋㅋㅋㅋㅋ,358,2025-03-14T22:03:18Z,2025-03-14T22:03:18Z,0,joy,0.9,0.0,0.0,0.0,0.85,0.0,0.0,0.15
UgwxgaLex_Jc0c4iJ7J4AaABAg,NLusWDqdXnI,main_comment,,@undongmania-u8j,http://www.youtube.com/@undongmania-u8j,이 팀은 기획력이 미쳤다 !!!,399,2025-03-15T02:21:49Z,2025-03-15T02:21:49Z,1,joy,0.85,0.0,0.0,0.0,0.8,0.0,0.0,0.2
UgwxgaLex_Jc0c4iJ7J4AaABAg.AFfVYgUL5HmAFno5Wzl4XX,NLusWDqdXnI,reply,UgwxgaLex_Jc0c4iJ7J4AaABAg,@jakeahn4921,http://www.youtube.com/@jakeahn4921,제작진들 너무 칭찬해,8,2025-03-18T07:46:31Z,2025-03-18T07:46:31Z,0,joy,0.9,0.0,0.0,0.0,0.85,0.0,0.0,0.15
