comment_id,video_id,comment_type,parent_id,author_name,author_channel_url,comment_text,like_count,published_at,updated_at,reply_count,primary_emotion,confidence,anger_score,disgust_score,fear_score,joy_score,sadness_score,surprise_score,neutral_score
UgzLOSZ_psdavllLS_h4AaABAg,slqOHZwf-wA,main_comment,,@뚜아뚜지TV,http://www.youtube.com/@%EB%9A%9C%EC%95%84%EB%9A%9C%EC%A7%80TV,챗gpt에게 5패째... 다음 도전자 추천해 주세요,438,2025-04-26T03:26:58Z,2025-04-26T03:26:58Z,156,neutral,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.9
UgzLOSZ_psdavllLS_h4AaABAg.AHMlOeoF24bAHMlaTlP6xu,slqOHZwf-wA,reply,UgzLOSZ_psdavllLS_h4AaABAg,@Wonny229,http://www.youtube.com/@Wonny229,"흠,,,❤❤",3,2025-04-26T03:28:43Z,2025-04-26T03:28:43Z,0,joy,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.2
UgzLOSZ_psdavllLS_h4AaABAg.AHMlOeoF24bAHMlpJr0dAM,slqOHZwf-wA,reply,UgzLOSZ_psdavllLS_h4AaABAg,@토끼자매-i5v,http://www.youtube.com/@%ED%86%A0%EB%81%BC%EC%9E%90%EB%A7%A4-i5v,예콩이요,19,2025-04-26T03:30:45Z,2025-04-26T03:30:45Z,0,joy,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.1
UgzLOSZ_psdavllLS_h4AaABAg.AHMlOeoF24bAHMm2o9nTdC,slqOHZwf-wA,reply,UgzLOSZ_psdavllLS_h4AaABAg,@xbdjfjdj9456,http://www.youtube.com/@xbdjfjdj9456,토깽이네 돌잼 더블비 예콩이,10,2025-04-26T03:32:43Z,2025-04-26T03:32:43Z,0,joy,0.85,0.0,0.0,0.0,0.85,0.0,0.0,0.15
UgzLOSZ_psdavllLS_h4AaABAg.AHMlOeoF24bAHMmW1bSLIg,slqOHZwf-wA,reply,UgzLOSZ_psdavllLS_h4AaABAg,@이연수-i6z,http://www.youtube.com/@%EC%9D%B4%EC%97%B0%EC%88%98-i6z,아빠,6,2025-04-26T03:36:43Z,2025-04-26T03:36:43Z,0,neutral,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
UgzLOSZ_psdavllLS_h4AaABAg.AHMlOeoF24bAHMmXPIqr7h,slqOHZwf-wA,reply,UgzLOSZ_psdavllLS_h4AaABAg,@채여닝Ari,http://www.youtube.com/@%EC%B1%84%EC%97%AC%EB%8B%9DAri,예콩이염,11,2025-04-26T03:36:54Z,2025-04-26T03:36:54Z,0,joy,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.1
Ugz2dylR1cuRrEo6N9Z4AaABAg,slqOHZwf-wA,main_comment,,@1도어-s8m,http://www.youtube.com/@1%EB%8F%84%EC%96%B4-s8m,왕 마이린 벌써 이렇게컷다니ㅜㅜ<br>변성기온거 넘 신기해ㅜㅜ,289,2025-04-26T10:44:30Z,2025-04-26T10:44:30Z,7,sadness,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.25
Ugz2dylR1cuRrEo6N9Z4AaABAg.AHNYTGNUK1tAHNlxSSPVIf,slqOHZwf-wA,reply,Ugz2dylR1cuRrEo6N9Z4AaABAg,@비니-x4k,http://www.youtube.com/@%EB%B9%84%EB%8B%88-x4k,⁠@bboklixx14누가 뭐라 함?<br>그냥 예전부터 봐왔던 유튜버가 저렇게 커서 변성기 왔다는게 신기하다는 거잖음,16,2025-04-26T12:51:06Z,2025-04-26T12:51:06Z,0,neutral,0.65,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ugz2dylR1cuRrEo6N9Z4AaABAg.AHNYTGNUK1tAHNsCETkpO3,slqOHZwf-wA,reply,Ugz2dylR1cuRrEo6N9Z4AaABAg,@검밍인디,http://www.youtube.com/@%EA%B2%80%EB%B0%8D%EC%9D%B8%EB%94%94,@bboklixx14말을 왜또 그렇게…..,11,2025-04-26T13:45:41Z,2025-04-26T13:45:41Z,0,anger,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.3
Ugz2dylR1cuRrEo6N9Z4AaABAg.AHNYTGNUK1tAHPFfS72MKF,slqOHZwf-wA,reply,Ugz2dylR1cuRrEo6N9Z4AaABAg,@백민아-h7m,http://www.youtube.com/@%EB%B0%B1%EB%AF%BC%EC%95%84-h7m,저도,3,2025-04-27T02:38:46Z,2025-04-27T02:38:46Z,0,neutral,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ugz2dylR1cuRrEo6N9Z4AaABAg.AHNYTGNUK1tAHPJBdR8fZk,slqOHZwf-wA,reply,Ugz2dylR1cuRrEo6N9Z4AaABAg,@1도어-s8m,http://www.youtube.com/@1%EB%8F%84%EC%96%B4-s8m,그냥 변성기 온게 신기하다는거였는데 기분 나빴다면 죄송합니다ㅜ,0,2025-04-27T03:09:30Z,2025-04-27T03:09:30Z,0,sadness,0.7,0.0,0.0,0.0,0.1,0.7,0.0,0.2
Ugz2dylR1cuRrEo6N9Z4AaABAg.AHNYTGNUK1tAHQQpxHni03,slqOHZwf-wA,reply,Ugz2dylR1cuRrEo6N9Z4AaABAg,@백민아-h7m,http://www.youtube.com/@%EB%B0%B1%EB%AF%BC%EC%95%84-h7m,@bboklixx14왜 말을 그렇게 하세요,1,2025-04-27T13:35:33Z,2025-04-27T13:35:33Z,0,anger,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.2
UgwX2Z9bxnYUJJlz-Sd4AaABAg,slqOHZwf-wA,main_comment,,@채예주-b9s,http://www.youtube.com/@%EC%B1%84%EC%98%88%EC%A3%BC-b9s,마이린이 이렇게 컷다뉘😢😢😢😢<br>거기다......연..세..대...😅😊😊까지;😅<br>건강하게 크세용~❤❤❤마이린 짱❤😊❤😊❤😊,50,2025-04-26T12:38:46Z,2025-04-26T12:38:46Z,2,joy,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.1
UgwX2Z9bxnYUJJlz-Sd4AaABAg.AHNkY6q9A_zAH_DEcL2mxA,slqOHZwf-wA,reply,UgwX2Z9bxnYUJJlz-Sd4AaABAg,@qhwlxkf12,http://www.youtube.com/@qhwlxkf12,ㄹㅇ,1,2025-05-01T08:49:08Z,2025-05-01T08:49:08Z,0,neutral,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6
UgwX2Z9bxnYUJJlz-Sd4AaABAg.AHNkY6q9A_zAHj4mMHT9_E,slqOHZwf-wA,reply,UgwX2Z9bxnYUJJlz-Sd4AaABAg,@ChiKim-h7x,http://www.youtube.com/@ChiKim-h7x,1gg🎉가르나초맘 the only thing,0,2025-05-05T04:47:38Z,2025-05-05T04:47:38Z,0,joy,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.2
Ugy-nzmQlXenCCma9Kl4AaABAg,slqOHZwf-wA,main_comment,,@sunheepak6198,http://www.youtube.com/@sunheepak6198,마린이 오빠 진짜!! 멋있고 잘생겼당❤❤😊,72,2025-04-26T04:22:05Z,2025-04-26T04:22:05Z,1,joy,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.1
Ugy-nzmQlXenCCma9Kl4AaABAg.AHMrhMk_IogAMREdxhOA-8,slqOHZwf-wA,reply,Ugy-nzmQlXenCCma9Kl4AaABAg,@유재선-m1l,http://www.youtube.com/@%EC%9C%A0%EC%9E%AC%EC%84%A0-m1l,마이린이에여,0,2025-08-30T03:45:16Z,2025-08-30T03:45:16Z,0,neutral,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Ugwv4tbAEwbWNH1HdHR4AaABAg,slqOHZwf-wA,main_comment,,@김민지-z5q1e,http://www.youtube.com/@%EA%B9%80%EB%AF%BC%EC%A7%80-z5q1e,아니 어렸을때 봤는데 왤케 커졌오ㅜㅜ 목소리 개조아❤❤,15,2025-04-27T03:27:11Z,2025-04-27T03:27:11Z,0,joy,0.85,0.0,0.0,0.0,0.85,0.0,0.0,0.15
UgxFpCdkZr1JSflP6254AaABAg,slqOHZwf-wA,main_comment,,@뚜아뚜지TV,http://www.youtube.com/@%EB%9A%9C%EC%95%84%EB%9A%9C%EC%A7%80TV,다음편에는 초강력한 존재를 데려오겠습니다,216,2025-04-26T06:57:25Z,2025-04-26T06:57:25Z,20,surprise,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.3
UgxFpCdkZr1JSflP6254AaABAg.AHN8U-u9QilAHNAVV5BeUJ,slqOHZwf-wA,reply,UgxFpCdkZr1JSflP6254AaABAg,@서본-f6i,http://www.youtube.com/@%EC%84%9C%EB%B3%B8-f6i,17분전!,3,2025-04-26T07:15:06Z,2025-04-26T07:15:06Z,0,neutral,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6
UgxFpCdkZr1JSflP6254AaABAg.AHN8U-u9QilAHNBYeot-A5,slqOHZwf-wA,reply,UgxFpCdkZr1JSflP6254AaABAg,@hiroo_556,http://www.youtube.com/@hiroo_556,다른 폰으로 또 다른 챗GPT 를 데려오면 되지 않을가용ㅇ,11,2025-04-26T07:24:16Z,2025-04-26T07:24:16Z,0,neutral,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.9
UgxFpCdkZr1JSflP6254AaABAg.AHN8U-u9QilAHNGVaEF1uU,slqOHZwf-wA,reply,UgxFpCdkZr1JSflP6254AaABAg,@M.inna-123,http://www.youtube.com/@M.inna-123,"걍 이케 말하세요 아휴,,,너가 아무리 공부 잘해봤자 넌 그대로고 아휴,,,로봇이 인간보다 잘해?어머 그래 니짱니짱 이케 말하세요",7,2025-04-26T08:07:32Z,2025-04-26T08:07:32Z,0,anger,0.8,0.6,0.1,0.0,0.0,0.1,0.0,0.2
UgxFpCdkZr1JSflP6254AaABAg.AHN8U-u9QilAHNN-WP_0rw,slqOHZwf-wA,reply,UgxFpCdkZr1JSflP6254AaABAg,@이다정-i8t,http://www.youtube.com/@%EC%9D%B4%EB%8B%A4%EC%A0%95-i8t,2시간전,1,2025-04-26T09:04:19Z,2025-04-26T09:04:19Z,0,neutral,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
UgxFpCdkZr1JSflP6254AaABAg.AHN8U-u9QilAHNYZs2dGeO,slqOHZwf-wA,reply,UgxFpCdkZr1JSflP6254AaABAg,@리즈바라기-u3j,http://www.youtube.com/@%EB%A6%AC%EC%A6%88%EB%B0%94%EB%9D%BC%EA%B8%B0-u3j,오 괜찮은 것 같아요!​@@hiroo_556,0,2025-04-26T10:45:24Z,2025-04-26T10:45:24Z,0,joy,0.8,0.0,0.0,0.0,0.7,0.0,0.0,0.3
UgyiQb330n8ZrqWCcpB4AaABAg,slqOHZwf-wA,main_comment,,@Pretty하늬_haru,http://www.youtube.com/@Pretty%ED%95%98%EB%8A%AC_haru,이젠 린이까지 ㅋㅋㅋㅋㅋㅋㅋㅋ 이러디가 마이맘&amp;마이대디님도 소환각?ㅋㅋㅋㅋ,88,2025-04-26T03:37:52Z,2025-04-26T03:37:52Z,1,joy,0.9,0.0,0.0,0.0,0.8,0.0,0.0,0.2
UgyiQb330n8ZrqWCcpB4AaABAg.AHMmdQoejZoAHNcfai6fkT,slqOHZwf-wA,reply,UgyiQb330n8ZrqWCcpB4AaABAg,@Pretty하늬_haru,http://www.youtube.com/@Pretty%ED%95%98%EB%8A%AC_haru,​@나윤이-s5y마이맘님도 하시다가 킹받으실듯요 ㅋㅋㅋ,3,2025-04-26T11:30:01Z,2025-09-18T05:02:41Z,0,joy,0.85,0.0,0.0,0.0,0.75,0.0,0.0,0.25
UgzrAW1amSQEuvJakTR4AaABAg,slqOHZwf-wA,main_comment,,@hskW-d1e,http://www.youtube.com/@hskW-d1e,오늘 영상도 재밌네요^^ㅎㅎ❤❤뚜아뚜지 예쁘고 귀여워요^^ㅠㅠㅎㅎ 마이린님 잘생기셨어요 ㅎㅎ❤❤,20,2025-04-26T03:43:43Z,2025-04-26T03:43:43Z,0,joy,0.9,0.0,0.0,0.0,0.8,0.1,0.0,0.1
UgywGT5mds76tkl_2aZ4AaABAg,slqOHZwf-wA,main_comment,,@김유식-f9u,http://www.youtube.com/@%EA%B9%80%EC%9C%A0%EC%8B%9D-f9u,마이린 얼굴이랑 목소리 성숙해진 것봐 ㅠㅠ 벌써 이렇게 컷다니! 너무 멋지다,20,2025-05-03T12:58:30Z,2025-05-03T12:58:30Z,0,joy,0.75,0.0,0.0,0.0,0.65,0.1,0.0,0.25
